H Left hand Bat,A Left hand Bat,H NoBat,A NoBat,H Right hand Bat,A Right hand Bat,City,H Left Arm Wrist Spinner,A Left Arm Wrist Spinner,H Right Arm Spinner,A Right Arm Spinner,H Left Arm Fast,A Left Arm Fast,H Right Arm Fast,A Right Arm Fast,H NoBowl,A NoBowl,H Left Arm Spinner,A Left Arm Spinner,H Right Arm Wrist Spinner,A Right Arm Wrist Spinner,H Top order Batter,A Top order Batter,H Bowling Allrounder,A Bowling Allrounder,H Wicketkeeper,A Wicketkeeper,H Allrounder,A Allrounder,H Batting Allrounder,A Batting Allrounder,H Batter,A Batter,H Middle order Batter,A Middle order Batter,H Opening Batter,A Opening Batter,H Bowler,A Bowler,Result
4,1,0,0,7,10,Melbourne,0,0,2,1,0,1,3,7,2,1,3,0,1,1,1,1,1,1,2,0,2,2,0,2,2,1,0,0,0,0,3,4,0
2,5,0,0,9,6,Unknown,0,0,4,1,1,2,4,5,1,2,0,1,1,0,1,0,0,0,1,0,2,1,0,0,0,2,2,0,1,2,4,6,2
1,4,0,0,10,7,Brisbane,0,0,0,2,0,0,8,8,1,0,2,0,0,1,0,0,0,0,1,2,4,3,0,0,2,1,2,2,0,0,2,3,1
2,2,0,0,9,9,Hobart,0,0,2,1,1,1,6,6,0,1,1,1,1,1,1,1,0,0,3,1,2,2,0,0,0,1,1,2,0,0,4,4,1
1,1,0,0,10,10,Canberra,0,0,1,2,2,1,4,3,1,2,0,1,3,2,1,0,1,0,1,1,2,2,0,2,1,1,1,0,0,1,4,4,1
3,0,0,0,8,11,Unknown,0,0,1,2,1,1,5,4,2,2,2,1,0,1,1,1,0,1,1,0,4,1,0,2,0,2,1,0,1,0,3,4,0
3,3,0,0,8,8,Brisbane,0,0,1,2,1,0,5,7,1,0,2,1,1,1,1,1,0,0,1,3,1,2,0,0,2,0,1,1,0,0,5,4,0
2,1,0,0,9,10,Hobart,1,0,1,2,1,1,6,4,1,2,1,0,0,2,2,0,1,0,2,1,2,2,0,2,0,1,0,0,1,1,3,4,1
5,3,0,0,6,8,Melbourne,0,0,0,4,0,2,7,3,2,1,1,0,1,1,1,0,0,0,1,1,2,2,0,0,1,1,2,2,0,1,4,4,0
3,2,0,0,8,9,Unknown,0,0,1,4,1,1,4,4,3,1,2,0,0,1,1,1,0,0,1,1,3,2,0,0,0,0,2,2,1,1,3,4,0
3,4,0,0,8,7,Perth,0,0,1,2,1,1,5,5,2,2,2,1,0,0,2,1,0,0,1,1,2,3,0,0,1,0,1,1,0,2,4,3,1
4,3,0,0,7,8,Canberra,1,0,2,1,1,1,3,4,2,3,2,2,0,0,2,1,1,0,1,1,2,3,0,0,1,0,1,2,1,1,2,3,1
3,4,0,0,8,7,Melbourne,0,0,3,1,1,2,4,5,1,3,1,0,1,0,0,1,0,0,1,1,1,4,0,0,1,1,2,0,1,1,5,3,1
1,1,0,0,10,10,Canberra,0,0,1,2,1,1,5,6,3,1,0,0,1,1,1,2,0,1,2,1,2,2,0,0,0,0,1,1,1,1,4,3,0
3,2,0,0,8,9,Carrara,0,0,3,2,1,1,5,5,1,2,1,0,0,1,0,1,0,1,1,2,1,2,0,0,1,1,2,0,1,1,5,3,0
1,3,0,0,10,8,Unknown,0,0,2,2,1,0,5,7,2,1,0,1,1,0,0,0,1,1,1,0,2,3,0,0,1,4,2,1,0,0,4,2,0
4,5,0,0,7,6,Unknown,0,1,0,1,0,1,6,6,2,1,2,0,1,1,2,1,0,0,1,1,2,2,1,0,0,0,2,2,1,1,2,4,1
3,4,0,0,8,7,Hobart,0,1,2,1,0,0,5,7,1,1,3,0,0,1,1,0,0,2,1,2,2,0,0,0,3,2,0,1,0,1,4,3,1
3,1,0,0,8,10,Perth,2,0,1,3,0,1,5,4,1,1,2,0,0,2,1,2,1,1,0,0,2,1,1,1,2,2,1,1,1,0,2,3,0
4,3,0,0,7,8,Adelaide,1,1,1,3,0,0,5,5,2,1,0,0,2,1,0,2,1,1,2,1,0,0,0,0,2,1,3,3,1,0,2,3,0
2,2,0,0,9,9,Hobart,1,2,2,2,1,1,3,5,1,1,1,0,2,0,3,1,0,1,0,1,3,1,0,0,1,2,0,1,0,1,4,3,0
4,5,0,0,7,6,Hobart,0,1,2,2,0,1,7,2,0,3,1,2,1,0,1,1,0,0,2,1,2,2,0,0,1,1,1,1,0,2,4,3,0
2,4,0,0,9,7,Hobart,0,0,1,0,0,2,8,4,0,3,1,2,1,0,1,1,0,0,2,1,2,2,0,0,0,0,1,2,1,1,4,4,0
3,1,0,0,8,10,Brisbane,0,0,0,2,1,1,7,5,1,1,2,1,0,1,0,1,0,1,1,0,6,2,0,1,1,2,1,1,0,0,2,3,1
5,1,0,0,6,10,Adelaide,2,0,1,3,0,1,5,3,1,2,1,0,1,2,3,1,3,0,1,1,0,3,0,0,0,1,2,2,0,0,2,3,0
1,5,0,0,10,6,Geelong,0,2,2,1,1,0,5,4,1,1,0,1,2,2,2,3,0,2,0,1,4,0,0,0,0,0,2,2,0,0,3,3,0
2,3,0,0,9,8,Sydney,0,0,0,2,1,2,5,4,2,2,1,1,2,0,1,0,1,2,1,1,3,1,0,0,1,2,1,1,1,0,2,4,1
4,3,0,0,7,8,Perth,0,0,2,2,1,1,3,5,3,1,2,1,0,1,1,2,0,0,1,1,1,2,0,0,1,0,1,3,2,0,4,3,1
4,4,0,0,7,7,Unknown,0,0,0,2,2,1,4,3,3,3,2,2,0,0,1,1,0,0,1,1,2,1,0,0,0,1,2,1,1,2,4,4,0
2,2,0,0,9,9,Brisbane,0,0,1,0,1,0,6,7,2,1,1,2,0,1,0,1,0,0,1,1,3,3,0,0,2,3,1,0,1,0,3,3,0
3,2,0,0,8,9,Adelaide,1,1,2,1,0,0,5,4,1,1,1,2,1,2,2,3,1,0,1,0,0,3,0,0,1,1,2,0,0,0,4,4,0
4,2,0,0,7,9,Geelong,0,1,4,1,1,1,4,4,0,2,1,0,1,2,1,1,0,0,0,0,1,3,1,1,1,2,2,0,0,0,5,4,1
2,4,0,0,9,7,Melbourne,1,0,1,2,0,1,4,4,4,1,0,3,1,0,2,5,0,0,1,0,1,2,1,0,0,0,0,0,1,1,5,3,0
3,3,0,0,8,8,Brisbane,0,0,2,1,0,1,8,8,1,0,0,1,0,0,0,1,1,0,0,1,4,2,0,0,3,1,1,2,0,0,2,4,0
4,2,0,0,7,9,Melbourne,1,0,1,2,1,2,4,3,1,2,2,1,1,1,3,0,0,0,0,2,2,1,0,0,1,1,0,1,1,1,4,5,0
4,4,0,0,7,7,Hobart,1,1,3,1,1,0,3,7,1,1,0,0,2,1,2,0,2,2,1,2,0,0,0,0,1,2,2,1,0,1,3,3,0
5,2,0,0,6,9,Perth,2,0,0,3,0,1,5,4,1,3,3,0,0,0,2,0,1,0,0,1,1,1,0,0,2,2,1,2,1,1,3,4,0
3,5,0,0,8,6,Melbourne,0,1,3,1,0,0,5,6,2,2,0,0,1,1,1,0,0,2,1,2,0,0,0,0,1,2,4,1,0,1,4,3,1
1,2,0,0,10,9,Unknown,0,0,3,2,0,1,6,2,0,4,1,2,1,0,2,2,0,0,1,2,2,0,2,0,0,0,1,2,0,0,3,5,1
1,4,0,0,10,7,Adelaide,0,1,3,3,1,1,4,3,2,1,0,0,1,2,1,2,1,2,2,1,2,0,0,0,1,1,0,2,0,0,4,3,1
4,1,0,0,7,10,Perth,1,0,2,1,1,0,3,6,2,2,2,1,0,1,2,2,1,0,1,0,2,1,0,0,1,3,1,1,1,0,2,4,1
4,2,0,0,7,9,Melbourne,2,0,2,1,1,1,5,7,0,2,0,0,1,0,1,0,0,0,2,1,0,4,0,0,1,1,1,1,1,1,5,3,1
3,2,0,0,8,9,Adelaide,1,1,2,1,0,1,5,4,1,1,1,2,1,1,2,3,1,0,1,0,0,3,0,0,1,1,2,0,0,0,4,4,1
4,1,0,0,7,10,Unknown,0,0,1,1,3,0,4,6,2,2,1,1,0,1,0,2,0,0,0,0,2,1,0,0,2,3,0,1,2,0,5,4,0
5,1,0,0,6,10,Melbourne,0,0,0,1,0,0,7,7,2,1,1,2,1,0,1,0,0,0,1,1,2,4,0,0,1,2,2,1,0,0,4,3,1
1,2,0,0,10,9,Carrara,0,1,1,1,1,1,5,6,1,1,2,1,1,0,0,2,0,1,2,2,1,2,0,0,4,0,0,0,0,1,4,3,0
5,3,0,0,6,8,Unknown,0,0,1,3,1,1,6,5,2,1,0,0,1,1,0,1,1,1,0,1,3,0,0,0,2,1,2,2,0,1,3,4,1
3,2,0,0,8,9,Unknown,0,0,2,2,1,1,4,7,2,0,2,0,0,1,1,1,0,0,1,3,4,2,0,0,0,0,1,1,1,0,3,4,1
2,2,0,0,9,9,Hobart,1,0,1,1,1,1,6,4,1,3,1,1,0,1,2,2,1,1,2,1,2,3,0,0,0,0,0,1,1,1,3,2,1
3,5,0,0,8,6,Brisbane,0,0,1,1,1,1,5,6,1,2,2,0,1,1,1,0,0,1,1,0,2,3,0,0,2,2,1,2,0,0,4,3,1
2,2,0,0,9,9,Melbourne,0,0,2,1,0,1,5,5,1,2,1,1,2,1,0,0,0,1,2,1,1,3,2,0,1,1,0,1,1,1,4,3,1
1,2,0,0,10,9,Geelong,0,0,1,3,1,1,5,5,1,1,2,0,1,1,3,1,0,1,0,1,3,1,0,0,0,0,1,2,0,1,4,4,0
2,0,0,0,9,11,Unknown,0,0,4,3,1,1,4,3,1,1,0,2,1,1,1,2,0,1,1,0,2,2,0,1,0,1,2,1,1,0,4,3,1
1,4,0,0,10,7,Canberra,0,0,2,3,1,0,6,6,1,0,0,1,1,1,2,1,1,0,1,2,2,1,0,2,0,0,1,0,1,1,3,4,1
1,2,0,0,10,9,Canberra,0,2,2,2,1,0,6,5,1,1,0,0,1,1,2,1,1,0,1,1,2,0,0,0,0,2,1,2,1,1,3,4,0
3,1,0,0,8,10,Brisbane,3,0,1,3,1,0,4,6,1,1,0,1,1,0,2,0,1,0,1,1,0,3,0,0,1,2,1,2,1,0,4,3,0
3,2,0,0,8,9,Perth,0,0,2,2,2,1,3,5,2,1,2,1,0,1,1,1,1,1,1,1,1,1,0,2,2,2,1,0,0,0,4,3,1
1,3,0,0,10,8,Unknown,0,0,3,2,0,1,6,7,0,0,0,0,2,1,2,1,0,0,1,2,2,2,2,0,0,0,1,2,0,0,3,4,0
2,2,0,0,9,9,Unknown,0,0,2,2,0,0,5,7,3,0,1,2,0,0,1,0,1,0,1,1,1,3,0,0,1,3,1,0,2,1,3,3,0
2,3,0,0,9,8,Hobart,1,0,0,1,1,2,6,3,1,4,1,1,1,0,2,0,0,0,2,2,2,3,0,0,0,0,0,1,1,3,4,2,1
4,3,0,0,7,8,Perth,0,1,1,0,2,1,3,7,3,0,2,1,0,1,1,1,0,1,2,2,2,2,0,0,1,0,1,0,0,1,4,4,1
4,1,0,0,7,10,Brisbane,1,0,3,0,0,0,4,5,1,1,1,2,1,3,2,1,1,0,1,1,0,1,0,1,1,3,2,0,0,0,4,4,0
5,4,0,0,6,7,Sydney,1,0,1,1,1,1,5,5,2,1,0,2,1,1,1,1,0,1,2,1,2,2,1,0,0,0,0,1,1,2,4,3,0
2,4,0,0,9,7,Melbourne,0,0,2,1,1,0,4,6,1,1,2,3,1,0,2,0,0,1,1,0,3,3,1,0,0,3,1,1,0,1,3,2,0
1,3,0,0,10,8,Brisbane,0,1,2,1,0,0,5,7,1,0,1,1,2,1,0,1,0,1,2,2,2,1,0,0,2,0,1,1,0,1,4,4,1
3,4,0,0,8,7,Sydney,1,0,2,1,1,0,6,7,1,1,0,1,0,1,1,1,1,1,1,2,1,1,0,0,0,1,2,1,1,0,4,4,1
2,2,0,0,9,9,Sydney,0,1,1,1,1,0,5,6,3,1,1,1,0,1,1,0,1,0,1,1,2,3,0,2,1,1,1,0,1,1,3,3,1
3,2,0,0,8,9,Brisbane,0,0,2,1,1,0,5,5,1,2,2,2,0,1,0,2,0,0,2,0,1,6,0,0,4,0,0,0,0,1,4,2,0
2,2,0,0,9,9,Melbourne,0,1,1,2,0,0,5,6,2,1,2,0,1,1,2,0,0,1,0,2,4,2,0,2,0,1,1,0,1,0,3,3,0
3,4,0,0,8,7,Brisbane,0,0,1,2,0,0,8,6,0,2,2,1,0,0,0,1,1,0,1,2,2,4,0,0,2,1,1,0,1,0,3,3,1
2,4,0,0,9,7,Brisbane,0,0,3,3,0,1,6,6,0,0,2,1,0,0,0,0,0,0,0,2,4,2,0,0,3,1,0,2,1,0,3,4,0
5,6,0,0,6,5,Perth,2,0,1,3,2,1,3,6,1,1,2,0,0,0,2,0,0,0,1,1,3,1,0,0,1,0,1,3,1,1,2,5,1
2,2,0,0,9,9,Unknown,0,1,1,1,0,1,6,4,2,2,1,1,1,1,0,1,0,1,1,2,3,3,0,0,1,0,2,1,0,0,4,3,1
2,1,0,0,9,10,Sydney,0,0,0,1,1,1,7,5,2,2,1,0,0,2,0,0,0,0,1,2,5,2,0,1,1,0,1,1,1,1,2,4,1
2,5,0,0,9,6,Melbourne,1,0,3,2,2,1,4,5,1,2,0,0,0,1,1,1,1,1,2,1,2,1,1,0,1,1,0,2,0,0,3,4,0
3,2,0,0,8,9,Perth,0,1,2,3,2,0,3,3,2,2,2,1,0,1,1,2,1,0,1,1,1,4,0,0,1,0,2,2,0,1,4,1,1
0,3,0,0,11,8,Brisbane,0,0,1,3,1,1,5,4,1,2,1,0,2,1,0,0,0,1,2,1,2,1,0,0,2,0,1,4,0,0,4,4,1
2,3,0,0,9,8,Melbourne,1,0,1,0,0,1,6,4,1,1,1,3,1,2,1,4,1,0,1,0,1,2,2,0,1,1,0,0,1,0,3,4,0
1,2,0,0,10,9,Hobart,0,0,1,1,1,1,5,4,3,1,0,2,1,2,1,4,0,0,2,0,2,2,0,0,0,1,1,0,1,0,4,4,0
0,1,0,0,11,10,Carrara,0,0,1,0,0,0,7,7,1,2,1,1,1,1,1,0,0,0,1,1,3,3,0,0,3,2,0,1,0,1,3,3,0
2,1,0,0,9,10,Sydney,0,0,1,1,2,0,5,5,2,2,1,1,0,2,0,0,1,0,1,2,4,1,0,2,1,0,1,1,1,0,2,5,1
4,4,0,0,7,7,Perth,0,0,1,2,2,0,4,6,2,2,2,0,0,1,3,0,1,1,1,1,1,2,0,0,1,0,1,4,0,0,3,3,1
6,0,0,0,5,11,Unknown,0,0,2,3,1,1,5,4,2,1,0,1,1,1,0,3,1,1,1,0,2,1,0,2,1,0,3,0,0,0,3,4,1
1,5,0,1,10,5,Brisbane,0,1,1,2,0,0,6,4,1,2,1,1,2,1,0,1,0,2,2,0,2,1,1,0,2,0,1,3,0,1,3,2,0
3,2,0,0,8,9,Hobart,1,0,0,2,1,0,6,5,1,1,1,1,1,2,1,0,1,0,2,2,1,2,0,2,1,1,0,0,1,1,4,3,0
4,3,0,0,7,8,Canberra,0,1,1,0,1,0,6,7,1,1,1,1,1,1,1,1,1,0,1,2,2,1,0,0,0,1,1,0,1,1,4,5,1
2,2,0,0,9,9,Sydney,0,0,0,1,1,1,6,4,2,1,1,1,1,3,0,0,1,1,1,1,3,2,0,0,2,1,1,1,1,1,2,4,1
2,5,0,0,9,6,Unknown,0,0,3,2,1,0,3,6,1,2,2,0,1,1,1,2,1,1,1,0,0,2,0,0,1,1,3,2,0,0,4,3,0
3,2,0,0,8,9,Adelaide,1,0,2,3,0,1,5,5,1,1,0,0,2,1,3,1,2,2,1,1,0,1,0,0,0,0,2,2,0,1,3,3,0
3,4,0,0,8,7,Hobart,1,1,1,4,0,0,7,5,0,0,1,0,1,1,1,3,0,1,2,1,3,1,0,0,0,0,1,1,1,0,3,4,1
5,1,0,0,6,10,Perth,0,0,1,1,2,0,4,7,2,1,2,1,0,1,2,0,1,0,1,2,1,2,0,0,1,2,1,2,0,0,4,3,0
3,2,0,0,8,9,Alice Springs,1,0,1,1,1,2,5,5,1,2,1,0,1,1,1,0,1,1,1,1,1,3,0,0,1,1,1,1,1,1,4,3,1
3,2,0,0,8,9,Canberra,1,0,0,0,0,0,4,7,1,1,3,2,2,1,4,1,0,0,0,1,2,3,0,0,1,3,0,0,0,0,4,3,0
3,1,0,0,8,10,Perth,3,0,1,2,0,1,5,3,1,3,0,0,1,2,2,0,0,0,1,2,0,1,0,1,1,0,2,2,1,1,4,4,0
4,6,0,0,7,5,Sydney,0,2,3,1,1,0,4,5,2,1,0,1,1,1,0,2,1,2,1,1,1,0,0,0,0,0,4,3,0,0,4,3,0
2,1,0,0,9,10,Melbourne,1,0,3,1,0,1,3,4,2,1,1,1,1,3,2,0,0,0,1,2,4,2,0,1,0,1,2,1,1,0,1,4,1
1,2,0,0,10,9,Adelaide,0,0,2,0,0,1,7,6,1,2,0,1,1,1,2,0,1,0,1,1,1,4,0,0,0,1,1,1,1,1,4,3,1
3,4,0,0,8,7,Unknown,0,2,2,1,0,2,4,4,2,1,2,1,1,0,0,1,0,0,1,1,2,4,0,0,0,1,3,1,1,1,4,2,2
6,2,0,0,5,9,Sydney,0,0,3,1,1,0,6,6,1,3,0,0,0,1,0,0,0,1,1,1,2,1,0,0,0,1,3,2,1,2,4,3,0
4,2,0,0,7,9,Perth,2,0,1,3,1,1,3,3,1,2,3,2,0,0,2,2,1,0,0,1,1,1,0,0,2,0,1,2,1,0,3,5,1
2,3,0,0,9,8,Melbourne,0,0,3,2,1,0,3,7,2,1,2,1,0,0,2,0,0,1,1,0,1,3,0,0,0,4,2,1,0,0,5,2,1
3,4,0,0,8,7,Brisbane,0,0,3,1,0,1,6,5,0,2,2,2,0,0,0,1,0,0,0,1,4,2,1,1,3,0,0,2,1,1,2,3,0
0,3,1,0,10,8,Melbourne,0,0,2,2,0,0,5,5,1,0,2,2,1,2,1,0,0,0,0,1,6,1,0,1,0,3,1,0,0,0,2,5,1
4,2,0,0,7,9,Sydney,1,0,1,1,1,1,7,5,1,3,0,1,0,0,1,1,1,1,1,1,1,2,0,0,0,1,2,1,1,1,4,3,1
1,2,0,0,10,9,Melbourne,0,0,1,2,0,1,5,6,2,1,1,0,2,1,0,1,1,1,0,1,1,1,2,0,2,0,0,2,1,1,4,4,1
2,4,0,0,9,7,Brisbane,1,0,1,1,1,0,4,7,2,1,1,1,1,1,0,1,0,1,1,2,1,1,0,0,4,1,0,1,1,0,4,4,1
5,3,0,0,6,8,Launceston,0,1,1,4,1,0,6,4,1,0,1,0,1,2,1,3,1,2,3,1,0,0,0,0,1,0,1,2,0,0,4,3,0
2,2,0,0,9,9,Hobart,1,0,0,2,1,1,6,6,0,1,1,0,2,1,1,1,1,1,2,1,1,1,0,0,0,0,1,2,1,1,4,4,0
5,3,0,0,6,8,Sydney,1,0,1,2,1,0,5,7,2,1,0,1,1,0,1,0,0,1,2,0,2,3,1,0,0,4,0,1,1,0,4,2,0
3,1,0,0,8,10,Brisbane,1,0,4,3,0,0,4,6,0,1,1,1,1,0,3,0,1,0,1,1,0,2,0,0,1,2,1,2,0,0,4,4,1
6,4,0,0,5,7,Unknown,0,2,1,1,1,2,7,4,1,1,1,1,0,0,2,1,0,1,1,1,1,2,1,0,0,1,1,1,1,1,4,3,0
3,3,0,0,8,8,Sydney,0,0,1,2,2,2,3,3,3,2,2,2,0,0,0,1,0,1,2,2,5,1,0,0,0,1,0,1,3,0,1,4,0
1,2,0,0,10,9,Melbourne,0,1,3,3,2,0,3,3,1,2,1,1,1,1,2,2,1,0,1,1,1,4,2,0,1,0,0,2,0,1,3,1,0
3,4,0,0,8,7,Melbourne,0,0,1,2,0,0,6,4,3,2,1,2,0,1,1,1,0,0,1,1,2,2,0,0,2,0,1,3,0,1,4,3,0
5,1,0,0,6,10,Carrara,0,0,2,2,0,1,4,6,1,1,3,0,1,1,5,2,0,1,0,1,3,2,0,0,0,0,0,1,0,1,3,3,0
3,2,0,0,8,9,Carrara,1,0,2,1,0,1,5,6,1,2,1,0,1,1,2,0,1,0,1,1,0,2,0,0,1,2,2,1,0,1,4,4,0
3,3,0,0,8,8,Carrara,1,1,1,2,1,0,3,4,2,1,2,1,1,2,0,0,0,0,1,1,1,2,0,2,4,1,0,0,1,1,4,4,0
5,2,0,0,6,9,Unknown,1,0,0,1,2,0,4,7,2,1,2,1,0,1,1,1,0,0,1,1,2,2,0,0,0,0,1,3,2,0,4,4,1
3,2,0,0,8,9,Launceston,1,0,1,2,1,0,5,4,1,2,1,1,1,2,1,0,1,1,1,1,1,0,0,2,1,2,1,0,1,1,4,4,0
2,4,0,0,9,7,Brisbane,0,2,3,1,1,1,4,4,1,2,2,1,0,0,0,2,0,0,2,2,1,2,0,0,3,0,1,1,0,0,4,4,1
5,2,0,0,6,9,Adelaide,1,1,2,2,0,1,5,5,1,2,0,0,2,0,1,1,2,1,2,2,0,2,0,0,0,1,2,1,0,0,4,3,1
3,1,0,0,8,10,Sydney,0,0,2,2,1,1,4,4,1,1,1,1,2,2,0,3,1,0,1,0,2,2,0,0,1,0,1,2,1,0,4,4,0
5,2,0,0,6,9,Adelaide,2,0,1,2,0,1,5,4,1,1,1,2,1,1,2,0,3,0,2,2,0,1,0,0,0,3,2,1,0,0,2,4,0
2,1,0,0,9,10,Geelong,0,0,0,1,0,0,5,5,2,2,3,1,1,2,3,0,0,0,0,2,4,1,0,2,0,0,0,1,1,0,3,5,0
3,2,0,0,8,9,Brisbane,1,0,1,3,1,1,4,5,1,1,2,0,1,1,0,1,0,1,0,1,1,1,0,0,4,0,0,2,1,1,5,4,0
